"The Grey","Action,Adventure,Drama","A crew of Alaskan oil-drillers find themselves in the wilderness after their plane crashes. As the crew tries to make a camp around the wreckage of the plane, they discover that they are being watched. The plane has crashed near a wolf den, causing these creatures to aggressively attack the survivors. As the wolfs follow them, John Ottway (one of these survivors, played by Liam Neeson) starts to see these people as actual people (as opposed to "assholes...men unfit for mankind"). Separated from society, we start to see these characters for who they are instead of what they were made to be by their circumstances. As Ottaway sees his (now) companions picked off one by one, he questions himself, his companions, and the God didn't used to believe in. Fate, Destiny, Family, and Loss are heavy themes in this deep, yet somehow suspenseful film."
"Oblivion","Action,Adventure,Mystery","In 2077, the human Jack Harper works with his companion Victoria "Vic" on the surveillance station Tech 49. Jack repairs drones and his memory was erased as part of the security process to stay on Earth, and he knows that Earth is completely depleted after sixty years of war against the alien invaders Scavengers "Scavs". The aliens have destroyed the moon and were defeated by nuclear weapons and the earthlings have moved to Jupiter's moon Titan since the planet was completely destroyed. Now Jack has to protect the power stations that use the ocean to supply energy to Titan fixing the drones. He also has recollections of a mysterious woman at the Empire State Building when Earth was habitable. Jack and Vic receive instructions from Sally (Melissa Leo), who is located on the space station Tet, and Vic is anxious to leave Earth in two weeks to join the survivors on Titan. However, Jack has a cabin in a secret place where he likes to stay alone. When the spacecraft Odyssey crashes on Earth, Jack witnesses the drones killing the human crew but he rescues a woman, Julia, who is the woman of his recollections. Julia and Jack recover the flight recorder but they are captured by the Scavengers. Soon they learn that the Scavs are actually a group of humans, who tell Jack that the invasion was a lie. Jack does not believe them, and they release Julia and Jack into the radiation zone to find the truth."
"Star Wars","Action,Adventure,Fantasy","In a distant galaxy eons before the creation of the mythical planet known as Earth, vast civilizations have evolved, and ruling the galaxy is an interstellar Empire created from the ruins of an Old Republic that held sway for generations. It is a time of civil war, as solar systems have broken away from the Empire and are waging a war of rebellion. During a recent battle, technical schematics for a gigantic space station, code named the Death Star, have been unearthed by Rebel spies, and a young woman who is a dissident member of the Imperial Senate, under the cover of a diplomatic mission to the planet Alderaan, is trying to smuggle these plans to the Rebellion. But her spacecraft is attacked by a vast warship of the Empire and seized. The dissident Senator is captured, but the plans for the Death Star are nowhere to be found. While soldiers of the Empire search the nearby planet Tatooine, a series of incidents sweeps up a young desert farmer with dreams of being a fighter pilot in the Rebellion, as he winds up with the Death Star plans and also the assistance of an elderly hermit who once served as a warrior of an ancient order whose chosen weapons were powerful energy swords known as lightsabers. The pair recruit a cynical interstellar smuggler and his outsized alien copilot with an ancient freighter heavily modified for combat to help them reach Alderaan - but the planet is obliterated and now the foursome must rescue the young woman held prisoner by the Empire and lead an attack by the Rebellion against the Death Star before it can annihilate all hope of restoring freedom to the galaxy."
"The Lion King","Animation,Adventure,Drama","A lion prince, Simba, is born in Africa and the animals of the Pride Lands pay tribute. Later Simba is told by his father, King Mufasa, that when Mufasa dies, Simba will become King of the Pride Lands. Simba's Uncle Scar would have been king after Mufasa had Mufasa not had a child. Fuelled by rage, Scar plots to kill Mufasa and Simba so he is able to take over the throne. He uses the hyenas to cause a stampede through the canyon where Mufasa and Simba are, and personally ensures Mufasa falls to his death. Simba survives so Scar implies that the stampede was Simba's fault and that the pride will blame him. Simba flees the Pride Lands meaning never to return home. Simba is found, collapsed with exhaustion, by Timon the Meerkat, and Pumbaa the Warthog, and the trio become fast friends. Simba stays with them well into adulthood until his childhood friend, Nala, hunting beyond the Pride Lands that herds had deserted under Scar's mismanagement stumbles upon Simba's new home. Astonished to find him alive, she begs him to return to the Pride Lands, where Scar has reigned as King for years, and ruined everything. All of the animals will starve if Simba does not return. Simba eventually agrees to fight for his kingdom. Simba battles Scar, and learns his father's death was Scar's fault, not his own. Simba prevails and takes his fathers place as rightful king, mirroring "The Circle of Life.""
"Toy Story","Animation,Adventure,Comedy","A little boy named Andy loves to be in his room, playing with his toys, especially his doll named "Woody". But, what do the toys do when Andy is not with them, they come to life. Woody believes that he has life (as a toy) good. However, he must worry about Andy's family moving, and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy's new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips."
"The Matrix","Action,Adventure,Sci-Fi","Thomas A. Anderson is a man living two lives. By day he is an average computer programmer and by night a hacker known as Neo. Neo has always questioned his reality, but the truth is far beyond his imagination. Neo finds himself targeted by the police when he is contacted by Morpheus, a legendary computer hacker branded a terrorist by the government. Morpheus awakens Neo to the real world, a ravaged wasteland where most of humanity have been captured by a race of machines that live off of the humans' body heat and electrochemical energy and who imprison their minds within an artificial reality known as the Matrix. As a rebel against the machines, Neo must return to the Matrix and confront the agents: super-powerful computer programs devoted to snuffing out Neo and the entire human rebellion."
"Star Wars: Episode I - The Phantom Menace","Action,Adventure,Fantasy","It is a distant galaxy eons before the gestation of the planet Earth. Advancements in technology and science have allowed the evolution of millions of worlds that are otherwise in many respects still primitive. These worlds are somewhat loosely allied into an intergalactic Republic, whose capital world is the planet Coruscant, a planetary city. Upholding order for the Republic are the Jedi, an order of warriors endowed with near-super power derived from self-generated fields of energy known collectively as the Force. Within the Republic, dissident worlds have banded into an alliance known as the Trade Federation, and the Trade Federation is locked in a dispute with the peaceful world of Naboo. Two Jedi Knights, Qui-Gon Jinn and his youthful apprentice, Obi-Wan Kenobi, have been sent to Naboo to help mediate an end to the dispute, but Nute Gunray, an alien viceroy, orders them to be killed, and the two Jedi discover upon their escape that the Trade Federation will launch an invasion of Naboo. With the help of a well-meaning but hopelessly subliterate alien native of Naboo, Qui-Gon and Obi-Wan land on Naboo to rescue her ruler, Queen Amidala, a ruler whose rule is a mixture of monarchy and republican democracy. Escaping Naboo, they are attacked by a Federation baseship and are forced to land on the distant planet Tatooine, where in seeking parts to complete their journey to Coruscant they encounter a young boy, Anakin Skywalker, a slave who possesses a gift for the savagely dangerous sport of podracing - a gift that Qui-Gon deduces is part of a genetic makeup perfect for the Jedi Order. Anakin eventually joins with Qui-Gon and Obi-Wan, and in the process attracts the attention of one of Queen Amidala's handmaidens with a dramatic secret, and all reach Coruscant, but endless and pointless debate within the Republic's Senate leave them no choice but to strike out on their own to liberate Naboo, a task made all the more difficult because a traitor within Coruscant has at his command a dissident Jedi warrior who seeks the death of Qui-Gon and Obi-Wan."
"Gladiator","Action,Adventure,Drama","In Gladiator, victorious general Maximus Decimus Meridias has been named keeper of Rome and its empire by dying emperor Marcus Aurelius, so that rule might pass from the Caesars back to the people and Senate. Marcus' neglected and power-hungry son, Commodus, has other ideas, however. Escaping an ordered execution, Maximus hurries back to his home in Spain, too late to save his wife and son from the same order. Taken into slavery and trained as a gladiator by Proximo, Maximus lives only that he might someday take his revenge and fulfill the dying wish of his emperor. The time soon comes when Proximo's troupe is called to Rome to participate in a marathon of gladiator games held at the behest of the new emperor, Commodus. Once in Rome, Maximus wastes no time in making his presence known, and is soon involved in a plot to overthrow the emperor with his former-love Lucilla, Commodus' sister, after whom he lusts, and also the widowed mother of Lucius, heir to the empire after his uncle, and democratic-minded senator, Gracchus."
"X-Men","Action,Adventure,Sci-Fi","In the near future, when children are being born with a special X-factor in their genes, giving them special powers and making them mutants, the seeds of a new Holocaust are being sown by Senator Robert Kelly. The situation brings into opposition the fellow mutants and former friends, Erik Lehnsherr, a.k.a. Magneto, and Professor Charles Xavier. While Xavier wants a peaceful means of stopping the hatred toward mutants, Magneto seeks to even things out with a machine that would speed up the mutation process in all humans, making everyone equal. To stop Magneto, Xavier brings together a special group of mutants called "X-Men" to stop him. In the meantime, two mysterious mutants emerge: Logan, a powerful and aggressive mutant with no past, no memories, and a young girl named Rogue. Their quests for identities eventually land them in the sights of Xavier and Magneto, but for what purpose?"
"The Lord of the Rings: The Fellowship of the Ring","Action,Adventure,Fantasy","An ancient Ring thought lost for centuries has been found, and through a strange twist in fate has been given to a small Hobbit named Frodo. When Gandalf discovers the Ring is in fact the One Ring of the Dark Lord Sauron, Frodo must make an epic quest to the Cracks of Doom in order to destroy it! However he does not go alone. He is joined by Gandalf, Legolas the elf, Gimli the Dwarf, Aragorn, Boromir and his three Hobbit friends Merry, Pippin and Samwise. Through mountains, snow, darkness, forests, rivers and plains, facing evil and danger at every corner the Fellowship of the Ring must go. Their quest to destroy the One Ring is the only hope for the end of the Dark Lords reign!"
"The Lord of the Rings: The Two Towers","Action,Adventure,Fantasy","The Fellowship has been broken. Boromir is dead, Frodo Baggins and Samwise Gamgee have gone to Mordor alone to destroy the One Ring, Merry and Pippin have been captured by the Uruk-hai, and Aragorn, Legolas, and Gimli have made friends of the Rohan, a race of humans that are in the path of the upcoming war, led by its aging king, Théoden. The two towers between Mordor and Isengard, Barad-dúr and Orthanc, have united in their lust for destruction. The corrupt wizard Saruman, under the power of the Dark Lord Sauron, and his slimy assistant, Gríma Wormtongue, have created a grand Uruk-hai army bent on the destruction of Man and Middle-earth. The rebellion against Sauron is building up and will be led by Gandalf the White, who was thought to be dead after the Balrog captured him. One of the Ring's original bearers, the creature Gollum, has tracked Frodo and Sam down in search of his 'precious', but is captured by the Hobbits and used as a way to lead them to Mt. Doom. The War of the Ring has now begun..."
"Finding Nemo","Animation,Adventure,Comedy","A clown fish named Marlin lives in the Great Barrier Reef loses his son, Nemo. After he ventures into the open sea, despite his father's constant warnings about many of the ocean's dangers. Nemo is abducted by a boat and netted up and sent to a dentist's office in Sydney. So, while Marlin ventures off to try to retrieve Nemo, Marlin meets a fish named Dory, a blue tang suffering from short-term memory loss. The companions travel a great distance, encountering various dangerous sea creatures such as sharks, anglerfish and jellyfish, in order to rescue Nemo from the dentist's office, which is situated by Sydney Harbor. While the two are doing this, Nemo and the other sea animals in the dentist's fish tank plot a way to return to Sydney Harbor to live their lives free again."
